William Shatner
Leonard Nimoy
James Doohan
DeForrest Kelly
Nichelle Nichols
George Takei
Walter Koenig
Patrick Stewart
Jonathan Frakes
Brent Spiner
LeVar Burton
Denise Crosby
Michael Dorn
Gates McFadden
Marina Sirtis
Wil Wheaton
Whoopi Goldberg
Avery Brooks
Nana Visitor
Terry Ferrell
Siddig El Fadil
Colm Meaney
Rene Auberjonois
Cirroc Lofton
Rosalind Chao
Armin Shimerman
Chase Masterson
Andrew Robinson
Marc Alaimo
Max Grodénchik
Jeffrey Combs
Nicole de Boer
Casey Biggs
Penny Johnson
Kate Mulgrew
Robert Beltran
Tim Russ
Robert Duncan McNeill
Roxanne Dawson
Garrett Wang
Robert Picardo
Ethan Phillips
Jennifer Lien
Jeri Ryan
Nancy Hower
Scarlett Pomers
Scott Bakula
Connor Trinneer
Jolene Blalock
Anthony Montgomery
John Billingsley
John de Lancie
