1|-5|-4|1|3|1|0%
2|-3|-2|1|5|1|0%
3|-3|-1|5|10|2|0%
4|-2|-1|10|25|3|0%
5|-2|-1|10|25|3|0%
6|-1|None|20|55|4|0%
7|-1|None|20|55|4|0%
8|Nor|None|35|90|5|1%
9|Nor|None|35|90|5|1%
10|Nor|None|40|115|6|2%
11|Nor|None|40|115|6|2%
12|Nor|None|45|140|7|4%
13|Nor|None|45|140|7|4%
14|Nor|None|55|170|8|7%
15|Nor|None|55|170|8|7%
16|Nor|+1|70|195|9|10%
17|+1|+1|85|220|10|13%
18|+1|+2|110|255|11|16%
19|+3|+7|485|640|16 (8)|50%
20|+3|+8|535|700|17 (10)|60%
21|+4|+9|635|810|17 (12)|70%
22|+4|+10|785|970|18 (14)|80%
23|+5|+11|935|1,130|18 (16)|90%
24|+6|+12|1,235|1,440|19 (17)|95%
25|+7|+14|1,535|1,750|19 (18)|99%
