1|0|0|0|0|0|0|0|0|0|0
2|2000|2250|1250|1500|2000|2000|2500|2200|2250|2500
3|4000|4500|2500|3000|4000|4000|5000|4400|4500|5000
4|8000|9000|5000|6000|7500|7500|10000|8800|9000|10000
5|16000|18000|10000|13000|12500|12500|20000|16500|18000|20000
6|32000|36000|20000|27500|20000|20000|40000|30000|36000|40000
7|64000|75000|40000|55000|35000|35000|60000|55000|62000|60000
8|125000|150000|70000|110000|60000|60000|90000|100000|107500|90000
9|250000|300000|110000|225000|90000|90000|135000|200000|192500|135000
10|500000|600000|160000|450000|125000|125000|250000|400000|375000|250000
11|750000|900000|220000|675000|200000|200000|375000|600000|562500|375000
12|1000000|1200000|440000|900000|300000|300000|750000|800000|875000|750000
13|1250000|1500000|660000|1125000|750000|750000|1125000|1000000|1187500|1125000
14|1500000|1800000|880000|1350000|1500000|1500000|1500000|1200000|1500000|1500000
15|1750000|2100000|1100000|1575000|3000000|3000000|1875000|1500000|1812500|3000000
16|2000000|2400000|1320000|1800000|3500000|3500000|2250000|1800000|2125000|3500000
17|2250000|2700000|1540000|2025000|500000|4000000|2625000|2100000|2437500|4000000
18|2500000|3000000|1760000|2250000|1000000|4500000|3000000|2400000|2750000|4500000
19|2750000|3300000|1980000|2475000|1500000|5000000|3375000|2700000|3062500|5000000
20|3000000|3600000|2200000|2700000|2000000|5500000|3750000|3000000|3375000|5500000
21|3250000|3900000|2420000|2925000|2500000|6000000|4125000|3300000|3687500|6000000
22|3500000|4200000|2640000|3150000|3000000|6500000|4500000|3600000|4000000|6500000
23|3750000|4500000|2860000|3375000|3500000|7000000|4875000|3900000|4312500|7000000
24|4000000|4800000|3080000|3600000|4000000|7500000|5250000|4200000|4625000|7500000
25|4250000|5100000|3300000|3825000|4500000|8000000|5625000|4500000|4937500|8000000
26|4500000|5400000|3520000|4050000|5000000|8500000|6000000|4800000|5250000|8500000
27|4750000|5700000|3740000|4275000|5500000|9000000|6375000|5100000|5562500|9000000
28|5000000|6000000|3960000|4500000|6000000|9500000|6750000|5400000|5875000|9500000
29|5250000|6300000|4180000|4725000|6500000|10000000|7125000|5700000|6187500|10000000
30|5500000|6600000|4400000|4950000|7000000|10500000|7500000|6000000|6500000|10500000
31|5750000|6900000|4620000|5175000|7500000|11000000|7875000|6300000|6812500|11000000
32|6000000|7200000|4840000|5400000|8000000|11500000|8250000|6600000|7125000|11500000
33|6250000|7500000|5060000|5625000|8500000|12000000|8625000|6900000|7437500|12000000
34|6500000|7800000|5280000|5850000|9000000|12500000|9000000|7200000|7750000|12500000
35|6750000|8100000|5500000|6075000|9500000|13000000|9375000|7500000|8062500|13000000
36|7000000|8400000|5720000|6300000|10000000|13500000|9750000|7800000|8375000|13500000
37|7250000|8700000|5940000|6525000|10500000|14000000|10125000|8100000|8687500|14000000
38|7500000|9000000|6160000|6750000|11000000|14500000|10500000|8400000|9000000|14500000
39|7750000|9300000|6380000|6975000|11500000|15000000|10875000|8700000|9312500|15000000
40|8000000|9600000|6600000|7200000|12000000|15500000|11250000|9000000|9625000|15500000
41|8250000|9900000|6820000|7425000|12500000|16000000|11625000|9300000|9937500|16000000
42|8500000|10200000|7040000|7650000|13000000|16500000|12000000|9600000|10250000|16500000
43|8750000|10500000|7260000|7875000|13500000|17000000|12375000|9900000|10562500|17000000
44|9000000|10800000|7480000|8100000|14000000|17500000|12750000|10200000|10875000|17500000
45|9250000|11100000|7700000|8325000|14500000|18000000|13125000|10500000|11187500|18000000
46|9500000|11400000|7920000|8550000|15000000|18500000|13500000|10800000|11500000|18500000
47|9750000|11700000|8140000|8775000|15500000|19000000|13875000|11100000|11812500|19000000
48|10000000|12000000|8360000|9000000|16000000|19500000|14250000|11400000|12125000|19500000
49|10250000|12300000|8580000|9225000|16500000|20000000|14625000|11700000|12437500|20000000
50|10500000|12600000|8800000|9450000|17000000|20500000|15000000|12000000|12750000|20500000
51|10750000|12900000|9020000|9675000|17500000|21000000|15375000|12300000|13062500|21000000
52|11000000|13200000|9240000|9900000|18000000|21500000|15750000|12600000|13375000|21500000
53|11250000|13500000|9460000|10125000|18500000|22000000|16125000|12900000|13687500|22000000
54|11500000|13800000|9680000|10350000|19000000|22500000|16500000|13200000|14000000|22500000
55|11750000|14100000|9900000|10575000|19500000|23000000|16875000|13500000|14312500|23000000
56|12000000|14400000|10120000|10800000|20000000|23500000|17250000|13800000|14625000|23500000
